supertile #0
0,144,0,0,0,0,144,0
110,146,110,110,110,110,146,110
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
110,146,110,110,110,110,146,110
0,144,0,0,0,0,144,0

supertile #1
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110
0,0,0,0,0,0,0,0

supertile #2
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0


supertile #3
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,18,19,19,18,144,0
0,144,36,37,37,38,144,0
0,144,36,37,37,38,144,0
0,144,54,55,55,56,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0

supertile #4
0,144,0,0,0,0,144,0
0,144,0,0,0,0,162,0
0,144,0,0,0,0,0,0
0,163,110,110,110,110,129,0
0,0,0,0,0,0,144,0
0,126,0,0,0,0,144,0
0,144,0,0,0,0,144,0
0,144,0,0,0,0,144,0

supertile #5
0,0,0,0,0,0,0,0
110,110,110,128,110,110,110,110
0,0,0,144,0,0,0,0
0,0,0,144,0,0,0,0
0,0,0,144,0,0,0,0
0,0,0,144,0,0,0,0
110,110,164,110,110,110,110,110
0,0,0,0,0,0,0,0

supertile #6
0,144,0,0,0,0,144,0
0,144,0,0,0,127,165,0
0,144,0,0,127,165,0,0
0,163,110,110,165,0,0,0
0,0,0,0,0,0,0,0
19,19,19,19,19,19,19,19
37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37

supertile #7
0,0,0,0,0,0,0,18
0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,36
19,19,19,19,19,19,19,74
37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37

supertile #8
20,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
72,19,19,19,19,19,19,19
37,37,37,37,37,37,37,37
37,37,37,37,37,37,37,37
